FirstWord,LastWord,Category
pick,pig,final_voicing
back,bag,final_voicing
cap,cab,final_voicing
bat,bad,final_voicing
cat,cad,final_voicing
seat,seed,final_voicing
beat,bead,final_voicing
rice,rise,final_voicing
pace,pays,final_voicing
race,raise,final_voicing
half,halve,final_voicing
leaf,leave,final_voicing
safe,save,final_voicing
proof,prove,final_voicing

# FINAL CONSONANTS - Nasal/Oral
pick,pink,final_nasal
back,bank,final_nasal
sack,sang,final_nasal
tack,tank,final_nasal
rack,rank,final_nasal
rib,rim,final_nasal
tab,tam,final_nasal
cab,cam,final_nasal

# FINAL CONSONANTS - Manner
bat,ban,final_manner
cat,can,final_manner
sit,sin,final_manner
wet,wen,final_manner
bead,bean,final_manner
seed,seen,final_manner
bad,bass,final_manner
mad,mass,final_manner
bed,beth,final_manner
wed,with,final_manner

# FINAL CONSONANTS - Place
pit,pick,final_place
bat,back,final_place
cat,cap,final_place
sit,sick,final_place
mat,map,final_place
ran,ram,final_place
ban,bam,final_place
sin,sing,final_place
win,wing,final_place
tin,ting,final_place

# CONSONANT CLUSTERS - Initial
sip,slip,cluster_initial
sow,slow,cluster_initial
sake,snake,cluster_initial
sick,stick,cluster_initial
top,stop,cluster_initial
tan,stan,cluster_initial
tip,trip,cluster_initial
rack,track,cluster_initial
red,bred,cluster_initial
row,grow,cluster_initial
rate,grate,cluster_initial
round,ground,cluster_initial

# CONSONANT CLUSTERS - Final
tea,tease,cluster_final
see,seize,cluster_final
row,rose,cluster_final
may,maze,cluster_final
bay,base,cluster_final
pay,pace,cluster_final
ten,tent,cluster_final
pen,pent,cluster_final
ban,band,cluster_final
ran,ramp,cluster_final
sin,sink,cluster_final
win,wind,cluster_final

# SYLLABLE STRUCTURE - Addition/Deletion
play,plate,syllable_addition
stay,state,syllable_addition
may,mate,syllable_addition
ray,rate,syllable_addition
car,card,syllable_addition
bar,bark,syllable_addition
tar,tarp,syllable_addition
far,farm,syllable_addition

# MINIMAL PAIRS - Liquid Confusion (R/L)
rock,lock,liquid_confusion
red,led,liquid_confusion
right,light,liquid_confusion
rake,lake,liquid_confusion
race,lace,liquid_confusion
reach,leach,liquid_confusion
read,lead,liquid_confusion
road,load,liquid_confusion
row,low,liquid_confusion
ray,lay,liquid_confusion
ran,lamb,liquid_confusion
rent,lent,liquid_confusion

# FRICATIVE PAIRS - Sibilant Confusion (S/SH/Z/ZH)
sip,ship,sibilant
sack,shack,sibilant
Sue,shoe,sibilant
sell,shell,sibilant
seat,sheet,sibilant
sign,shine,sibilant
save,shave,sibilant
case,cash,sibilant
mass,mash,sibilant
miss,mish,sibilant
bass,bash,sibilant

# TH SOUNDS - Common Difficulties
think,sink,th_voiceless
thin,sin,th_voiceless
thank,sank,th_voiceless
theme,seem,th_voiceless
thick,sick,th_voiceless
thing,sing,th_voiceless
then,den,th_voiced
they,day,th_voiced
though,dough,th_voiced
that,dat,th_voiced

# DIPHTHONGS - Gliding Vowels
bay,bee,diphthong
say,see,diphthong
pay,pea,diphthong
may,me,diphthong
boy,buy,diphthong
joy,jive,diphthong
coin,kine,diphthong
how,hoe,diphthong
now,no,diphthong
cow,co,diphthong

# STRESS PATTERNS - Same Segments Different Stress
record,record,stress_pattern
permit,permit,stress_pattern
present,present,stress_pattern
desert,dessert,stress_pattern
object,object,stress_pattern
subject,subject,stress_pattern

# HOMOPHONES - Different Meanings Same Sound
right,write,homophone
write,rite,homophone
too,two,homophone
their,there,homophone
bare,bear,homophone
pair,pear,homophone
sea,see,homophone
be,bee,homophone
son,sun,homophone
here,hear,homophone
meet,meat,homophone
week,weak,homophone
steal,steel,homophone
made,maid,homophone
break,brake,homophone
flour,flower,homophone
pain,pane,homophone
rain,reign,homophone
sale,sail,homophone
tale,tail,homophone

# HIGH FREQUENCY MINIMAL PAIRS
bit,beat,high_frequency
ship,sheep,high_frequency
leave,live,high_frequency
feel,fill,high_frequency
heat,hit,high_frequency
seat,sit,high_frequency
cheap,chip,high_frequency
sleep,slip,high_frequency
vet,wet,high_frequency
best,vest,high_frequency
fan,van,high_frequency
few,view,high_frequency
fine,vine,high_frequency

# COMPLEX CLUSTERS
string,sting,complex_cluster
spring,spin,complex_cluster
strong,song,complex_cluster
strike,trike,complex_cluster
script,crypt,complex_cluster
splash,slash,complex_cluster
split,slit,complex_cluster
spray,pray,complex_cluster

# WORD-FINAL CONSONANTS (Common ESL Difficulties)
pick,picks,final_plural
back,backs,final_plural
cat,cats,final_plural
dog,dogs,final_plural
walk,walked,final_past
talk,talked,final_past
want,wanted,final_past
need,needed,final_past
