word,choice1,choice2,choice3,choice4,category
stone,stone,bone,phone,cone,wordRecognition
snake,snake,lake,cake,bake,wordRecognition
grape,grape,cape,tape,shape,wordRecognition
chair,chair,hair,fair,pair,wordRecognition
clock,clock,block,rock,sock,wordRecognition
cloud,cloud,loud,proud,crowd,wordRecognition
fruit,fruit,suit,flute,boot,wordRecognition
wheel,wheel,feel,seal,meal,wordRecognition
glove,glove,dove,love,shove,wordRecognition
mouse,mouse,house,spouse,blouse,wordRecognition
knife,knife,life,wife,strife,wordRecognition
swing,swing,ring,bring,string,wordRecognition
brush,brush,crush,rush,hush,wordRecognition
track,track,back,pack,stack,wordRecognition
plate,plate,gate,late,state,wordRecognition
smile,smile,mile,tile,while,wordRecognition
drive,drive,five,dive,hive,wordRecognition
paint,paint,saint,faint,taint,wordRecognition
beach,beach,teach,peach,reach,wordRecognition
sleep,sleep,sheep,deep,keep,wordRecognition
brown,brown,crown,down,town,wordRecognition
bread,bread,head,read,thread,wordRecognition
match,match,catch,patch,latch,wordRecognition
bench,bench,french,wrench,trench,wordRecognition
whale,whale,scale,tale,sale,wordRecognition
tooth,tooth,booth,smooth,youth,wordRecognition
creek,creek,cheek,seek,week,wordRecognition
shell,shell,smell,spell,well,wordRecognition
globe,globe,robe,probe,lobe,wordRecognition
skate,skate,gate,plate,crate,wordRecognition
grand,grand,hand,sand,brand,wordRecognition
grind,grind,find,kind,wind,wordRecognition
blank,blank,tank,rank,bank,wordRecognition
steep,steep,sheep,sleep,keep,wordRecognition
stove,stove,drove,grove,cove,wordRecognition
tiger,tiger,liger,diger,biger,wordRecognition
table,table,cable,label,fable,wordRecognition
water,water,later,cater,hater,wordRecognition
pizza,pizza,visa,lisa,risa,wordRecognition
apple,apple,chapel,grapple,snapple,wordRecognition
monkey,monkey,donkey,honkey,zonkey,wordRecognition
flower,flower,power,tower,lower,wordRecognition
dragon,dragon,wagon,flagon,lagoon,wordRecognition
bubble,bubble,trouble,double,rubble,wordRecognition
garden,garden,harden,pardon,warden,wordRecognition
button,button,mutton,glutton,hutton,wordRecognition
kitten,kitten,mitten,bitten,written,wordRecognition
chicken,chicken,thicken,quicken,sicken,wordRecognition
spider,spider,cider,rider,wider,wordRecognition
winter,winter,splinter,printer,hinter,wordRecognition
summer,summer,drummer,plumber,bummer,wordRecognition
rocket,rocket,pocket,socket,locket,wordRecognition
market,market,carpet,target,garnet,wordRecognition
window,window,willow,pillow,billow,wordRecognition
zipper,zipper,dipper,skipper,flipper,wordRecognition
monster,monster,foster,roster,lobster,wordRecognition
brother,brother,mother,other,bother,wordRecognition
sister,sister,mister,blister,twister,wordRecognition
father,father,gather,lather,rather,wordRecognition
doctor,doctor,proctor,actor,factor,wordRecognition
purple,purple,circle,hurdle,turtle,wordRecognition
yellow,yellow,fellow,mellow,bellow,wordRecognition
orange,orange,storage,porridge,borage,wordRecognition
silver,silver,deliver,quiver,liver,wordRecognition
golden,golden,olden,bolden,holden,wordRecognition
broken,broken,token,spoken,woken,wordRecognition
frozen,frozen,chosen,dozen,woven,wordRecognition
heaven,heaven,seven,eleven,leaven,wordRecognition
garden,garden,pardon,harden,warden,wordRecognition
sudden,sudden,hidden,ridden,bidden,wordRecognition
button,button,mutton,cotton,rotten,wordRecognition
basket,basket,casket,gasket,hasket,wordRecognition
blanket,blanket,trinket,bracket,racket,wordRecognition
bucket,bucket,ducket,tucket,nucket,wordRecognition
magnet,magnet,cabinet,planet,janet,wordRecognition
helmet,helmet,pelmet,velmet,delmet,wordRecognition
carrot,carrot,parrot,garrot,harrot,wordRecognition
rabbit,rabbit,habit,tablet,cabbit,wordRecognition
planet,planet,granite,janet,gannet,wordRecognition
letter,letter,better,setter,wetter,wordRecognition
butter,butter,utter,gutter,mutter,wordRecognition
summer,summer,hummer,bummer,drummer,wordRecognition
finger,finger,linger,ringer,singer,wordRecognition
danger,danger,ranger,manger,hanger,wordRecognition
singer,singer,ringer,bringer,stinger,wordRecognition
anchor,anchor,tanker,banker,ranker,wordRecognition
hammer,hammer,ammer,jammer,slammer,wordRecognition
ladder,ladder,madder,sadder,badder,wordRecognition
pepper,pepper,stepper,prepper,lepper,wordRecognition
copper,copper,hopper,topper,proper,wordRecognition
zipper,zipper,tipper,dipper,shipper,wordRecognition
dinner,dinner,winner,sinner,thinner,wordRecognition
winner,winner,dinner,spinner,thinner,wordRecognition
banner,banner,manner,tanner,planner,wordRecognition
hammer,hammer,grammar,stammer,jammer,wordRecognition
timber,timber,limber,climber,member,wordRecognition
number,number,slumber,lumber,plumber,wordRecognition
tender,tender,render,sender,blender,wordRecognition
thunder,thunder,under,wonder,plunder,wordRecognition
slender,slender,tender,render,blender,wordRecognition
chamber,chamber,amber,timber,member,wordRecognition
member,member,ember,timber,chamber,wordRecognition
silver,silver,deliver,shiver,river,wordRecognition
shower,shower,power,tower,flower,wordRecognition
colder,colder,holder,folder,bolder,wordRecognition
louder,louder,powder,chowder,prouder,wordRecognition
center,center,enter,winter,renter,wordRecognition
player,player,layer,prayer,slayer,wordRecognition
doctor,doctor,actor,tractor,factor,wordRecognition
answer,answer,cancer,dancer,prancer,wordRecognition
monster,monster,lobster,roster,foster,wordRecognition
sister,sister,blister,mister,twister,wordRecognition
whisper,whisper,jasper,casper,hasper,wordRecognition
wonder,wonder,thunder,plunder,under,wordRecognition
number,number,lumber,slumber,plumber,wordRecognition
picture,picture,mixture,fixture,texture,wordRecognition
nature,nature,creature,feature,preacher,wordRecognition
measure,measure,treasure,pleasure,leisure,wordRecognition
treasure,treasure,pleasure,measure,leisure,wordRecognition
chicken,chicken,thicken,quicken,stricken,wordRecognition
kitchen,kitchen,bitchen,hitchen,pitchen,wordRecognition
children,children,caldron,mildren,gildren,wordRecognition
problem,problem,blossom,bottom,solemn,wordRecognition
bottom,bottom,blossom,problem,cotton,wordRecognition
reason,reason,season,treason,beacon,wordRecognition
prison,prison,bison,poison,raisin,wordRecognition
person,person,parson,arson,terson,wordRecognition
listen,listen,glisten,christen,misten,wordRecognition
happen,happen,dampen,sharpen,aspen,wordRecognition
open,open,broken,token,woken,wordRecognition
given,given,driven,riven,striven,wordRecognition
seven,seven,heaven,eleven,leaven,wordRecognition
robin,robin,bobbin,goblin,dobbin,wordRecognition
cabin,cabin,sabin,rabin,gabin,wordRecognition
dragon,dragon,wagon,flagon,jargon,wordRecognition
lemon,lemon,demon,melon,venom,wordRecognition
melon,melon,lemon,felon,talon,wordRecognition
bacon,bacon,taken,shaken,waken,wordRecognition
taken,taken,bacon,shaken,waken,wordRecognition
broken,broken,token,spoken,woken,wordRecognition
spoken,spoken,broken,token,woken,wordRecognition
frozen,frozen,chosen,dozen,hosen,wordRecognition
